annee;departement;population_20_59
2020;Seine-Maritime;613795
2020;Seine-Saint-Denis;889729
2020;Seine-et-Marne;742634
2020;Somme;279256
2020;Tarn;178020
2020;Tarn-et-Garonne;122856
2020;Territoire de Belfort;68916
2020;Val-d'Oise;651205
2020;Val-de-Marne;758980
2020;Var;497986
2020;Vaucluse;266143
2020;Vendée;311764
2020;Vienne;211794
2020;Vosges;167508
2020;Yonne;152223
2020;Yvelines;739587
2021;Ain;331815
2021;Aisne;250140
2021;Allier;148112
2021;Alpes-Maritimes;528124
2021;Alpes-de-Haute-Provence;74666
2021;Ardennes;127517
2021;Ardèche;150476
2021;Ariège;69856
2021;Aube;147530
2021;Aude;169565
2021;Aveyron;124990
2021;Bas-Rhin;597738
2021;Bouches-du-Rhône;1023758
2021;Calvados;335055
2021;Cantal;64299
2021;Charente;160945
2021;Charente-Maritime;292192
2021;Cher;135207
2021;Corrèze;107575
2021;Corse;170016
2021;Creuse;49141
2021;Côte-d'Or;265013
2021;Côtes-d'Armor;266612
2021;Deux-Sèvres;173665
2021;Dordogne;179761
2021;Doubs;269354
2021;Drôme;245587
2021;Essonne;684453
2021;Eure;288323
2021;Eure-et-Loir;205373
2021;Finistère;433197
2021;Gard;351397
2021;Gers;84822
2021;Gironde;853119
2021;Guadeloupe;183675
2021;Guyane;140274
2021;Haut-Rhin;382057
2021;Haute-Garonne;776000
2021;Haute-Loire;103449
2021;Haute-Marne;78261
2021;Haute-Savoie;443627
2021;Haute-Saône;108924
2021;Haute-Vienne;173092
2021;Hautes-Alpes;64622
2021;Hautes-Pyrénées;104769
2021;Hauts-de-Seine;899904
2021;Hérault;592735
2021;Ille-et-Vilaine;560537
2021;Indre;95503
2021;Indre-et-Loire;296792
2021;Isère;642803
2021;Jura;120352
2021;La Réunion;446586
2021;Landes;195015
2021;Loir-et-Cher;148409
2021;Loire;360817
2021;Loire-Atlantique;737715
2021;Loiret;329809
2021;Lot;74198
2021;Lot-et-Garonne;147535
2021;Lozère;34896
2021;Maine-et-Loire;397461
2021;Manche;226004
2021;Marne;281188
2021;Martinique;172934
2021;Mayenne;141502
2021;Mayotte;121198
2021;Meurthe-et-Moselle;370547
2021;Meuse;84973
2021;Morbihan;349107
2021;Moselle;530030
2021;Nièvre;86381
2021;Nord;1320770
2021;Oise;415560
2021;Orne;122175
2021;Paris;1247103
2021;Pas-de-Calais;711866
2021;Puy-de-Dôme;323779
2021;Pyrénées-Atlantiques;329893
2021;Pyrénées-Orientales;219629
2021;Rhône;995279
2021;Sarthe;265261
2021;Savoie;218722
2021;Saône-et-Loire;246593
2021;Seine-Maritime;612534
2021;Seine-Saint-Denis;898115
2021;Seine-et-Marne;747483
2021;Somme;278186
2021;Tarn;178804
2021;Tarn-et-Garonne;122968
2021;Territoire de Belfort;68987
2021;Val-d'Oise;653822
2021;Val-de-Marne;763450
2021;Var;504031
2021;Vaucluse;266291
2021;Vendée;314111
2021;Vienne;210747
2021;Vosges;165931
2021;Yonne;151874
2021;Yvelines;743583
2022;Ain;335999
2022;Aisne;248990
2022;Allier;148061
2022;Alpes-Maritimes;533698
2022;Alpes-de-Haute-Provence;75097
2022;Ardennes;126092
2022;Ardèche;151125
2022;Ariège;70219
2022;Aube;147340
2022;Aude;169910
2022;Aveyron;125373
2022;Bas-Rhin;597639
2022;Bouches-du-Rhône;1031051
2022;Calvados;336109
2022;Cantal;63871
2022;Charente;161546
2022;Charente-Maritime;295165
2022;Cher;134916
2022;Corrèze;107816
2022;Corse;171324
2022;Creuse;49074
2022;Côte-d'Or;266160
2022;Côtes-d'Armor;267849
2022;Deux-Sèvres;173979
2022;Dordogne;180736
2022;Doubs;270060
2022;Drôme;246108
2022;Essonne;690922
2022;Eure;289128
2022;Eure-et-Loir;205963
2022;Finistère;436009
2022;Gard;355298
2022;Gers;84718
2022;Gironde;865378
2022;Guadeloupe;181812
2022;Guyane;140830
2022;Haut-Rhin;381585
2022;Haute-Garonne;783969
2022;Haute-Loire;104255
2022;Haute-Marne;77632
2022;Haute-Savoie;448131
2022;Haute-Saône;108150
2022;Haute-Vienne;173407
2022;Hautes-Alpes;65069
2022;Hautes-Pyrénées;105232
2022;Hauts-de-Seine;909623
2022;Hérault;597791
2022;Ille-et-Vilaine;566392
2022;Indre;95032
2022;Indre-et-Loire;298007
